tire_pressure_fl,tire_pressure_fr,tire_pressure_rl,tire_pressure_rr,vehicle_speed_kmh,ambient_temperature_c,failure_score
2.5,2.5,2.4,2.4,4.286361408253503,17.0,0.004593
2.5,2.5,2.4,2.4,29.876883362333267,17.0,0.032011
2.5,2.5,2.4,2.4,29.880109774107368,28.37150526046753,0.032014
2.5,2.5,2.4,2.4,27.698682678547257,26.803168773651123,0.029677
2.5,2.5,2.4,2.4,29.39703530540513,17.0,0.031497
2.5,2.5,2.4,2.4,0.003123461964018613,17.0,3e-06
2.5,2.5,2.4,2.4,4.7962349588647634e-05,17.0,0.0
2.5,2.5,2.4,2.4,0.001531013497926067,17.0,2e-06
2.5,2.5,2.4,2.4,0.0027258452080021435,17.0,3e-06
2.5,2.5,2.4,2.4,0.000855937962673328,17.0,1e-06
2.5,2.5,2.4,2.4,0.005617481107604484,17.0,6e-06
2.5,2.5,2.4,2.4,0.0011454620133997486,17.0,1e-06
2.5,2.5,2.4,2.4,0.007965053525180399,17.0,9e-06
2.5,2.5,2.4,2.4,0.0015815848806413407,17.0,2e-06
2.5,2.5,2.4,2.4,0.0005988922412263829,17.0,1e-06
2.5,2.5,2.4,2.4,0.000945167507132316,17.0,1e-06
2.5,2.5,2.4,2.4,0.0,17.0,0.0
2.5,2.5,2.4,2.4,0.0017755278719821597,17.0,2e-06
2.5,2.5,2.4,2.4,0.0007613526636721819,17.0,1e-06
2.5,2.5,2.4,2.4,0.0009173240858362081,17.0,1e-06
2.5,2.5,2.4,2.4,21.838778774043018,17.0,0.023399
2.5,2.5,2.4,2.4,29.092598213842955,17.0,0.031171
2.5,2.5,2.4,2.4,30.234690609743428,28.202208995819092,0.032394
2.5,2.5,2.4,2.4,27.360545908068698,34.00000047683716,0.029315
2.5,2.5,2.4,2.4,29.974857564309367,17.0,0.032116
2.5,2.5,2.4,2.4,30.5546494460474,25.71139645576477,0.032737
2.5,2.5,2.4,2.4,27.299726172743167,31.22278881072998,0.02925
2.5,2.5,2.4,2.4,26.625389171907706,17.0,0.028527
2.5,2.5,2.4,2.4,0.0017346990461476535,17.0,2e-06
2.5,2.5,2.4,2.4,0.0027657736558907497,17.0,3e-06
2.5,2.5,2.4,2.4,0.0016872939770615218,17.0,2e-06
2.5,2.5,2.4,2.4,0.0013078537126659762,17.0,1e-06
2.5,2.5,2.4,2.4,0.0007255439871182622,17.0,1e-06
2.5,2.5,2.4,2.4,0.001575096126348503,17.0,2e-06
2.5,2.5,2.4,2.4,22.7708663892347,31.397871494293213,0.024397
2.5,2.5,2.4,2.4,26.93940480813597,34.00000047683716,0.028864
2.5,2.5,2.4,2.4,30.378886812831684,17.0,0.032549
2.5,2.5,2.4,2.4,29.56215075985211,26.892101883888245,0.031674
2.5,2.5,2.4,2.4,27.82263340694158,25.176990151405334,0.02981
